x [mm],y [mm],intensity [arb]
-8.75,-43.25,7.32576704025268
-8.25,-43.25,7.29296779632568
-7.75,-43.25,7.17984580993652
-7.25,-43.25,7.00830698013305
-6.75,-43.25,6.80511713027954
-6.25,-43.25,6.59650659561157
-5.75,-43.25,6.40402221679687
-5.25,-43.25,6.24218034744262
-4.75,-43.25,6.11813116073608
-4.25,-43.25,6.03283262252807
-3.75,-43.25,5.98302841186523
-3.25,-43.25,5.96324491500854
-2.75,-43.25,5.96751976013183
-2.25,-43.25,5.99062728881835
-1.75,-43.25,6.02889013290405
-1.25,-43.25,6.08080291748046
-0.75,-43.25,6.14747905731201
-0.25,-43.25,6.23300266265869
0.25,-43.25,6.34460306167602
0.75,-43.25,6.49246263504028
1.25,-43.25,6.68912267684936
1.75,-43.25,6.94843482971191
2.25,-43.25,7.28402090072631
2.75,-43.25,7.7073073387146
3.25,-43.25,8.22530746459961
3.75,-43.25,8.83837413787841
4.25,-43.25,9.53822326660156
4.75,-43.25,10.306770324707
5.25,-43.25,11.1162586212158
5.75,-43.25,11.9312114715576
6.25,-43.25,12.7118663787841
6.75,-43.25,13.4191427230834
7.25,-43.25,14.0196390151977
7.75,-43.25,14.4898843765258
8.25,-43.25,14.8188829421997
8.75,-43.25,15.0080423355102
9.25,-43.25,15.0690956115722
9.75,-43.25,15.0204544067382
10.25,-43.25,14.8830261230468
10.75,-43.25,14.6767311096191
11.25,-43.25,14.4183359146118
11.75,-43.25,14.1207160949707
12.25,-43.25,13.7935762405395
12.75,-43.25,13.4449005126953
13.25,-43.25,13.0826063156127
13.75,-43.25,12.7159585952758
14.25,-43.25,12.3561944961547
14.75,-43.25,12.0162315368652
15.25,-43.25,11.7097978591918
15.75,-43.25,11.4498643875122
16.25,-43.25,11.2468338012695
16.75,-43.25,11.1068239212036
17.25,-43.25,11.0304660797119
17.75,-43.25,11.0122594833374
18.25,-43.25,11.0407876968383
18.75,-43.25,11.0998945236206
19.25,-43.25,11.1705141067504
19.75,-43.25,11.2331390380859
20.25,-43.25,11.2704362869262
20.75,-43.25,11.2697248458862
21.25,-43.25,11.2246646881103
21.75,-43.25,11.136019706726
22.25,-43.25,11.0112123489379
22.75,-43.25,10.8628282546997
23.25,-43.25,10.7063484191894
23.75,-43.25,10.557557106018
24.25,-43.25,10.430004119873
24.75,-43.25,10.3329496383667
25.25,-43.25,10.2700443267822
25.75,-43.25,10.2388982772827
26.25,-43.25,10.2315168380737
26.75,-43.25,10.2356567382812
27.25,-43.25,10.2367839813232
27.75,-43.25,10.2202720642089
28.25,-43.25,10.1734943389892
28.75,-43.25,10.08722782135
29.25,-43.25,9.95617008209228
29.75,-43.25,9.77859306335449
30.25,-43.25,9.55538082122802
30.75,-43.25,9.28885078430175
31.25,-43.25,8.98190879821777
31.75,-43.25,8.63788604736328
32.25,-43.25,8.26093864440918
32.75,-43.25,7.85679674148559
33.25,-43.25,7.43354606628418
33.75,-43.25,7.00191307067871
34.25,-43.25,6.57479095458984
34.75,-43.25,6.16600561141967
35.25,-43.25,5.78854036331176
35.75,-43.25,5.45253086090087
36.25,-43.25,5.16352081298828
36.75,-43.25,4.92132091522216
37.25,-43.25,4.72003936767578
37.75,-43.25,4.54913759231567
38.25,-43.25,4.39547634124755
38.75,-43.25,4.24591779708862
39.25,-43.25,4.08993911743164
39.75,-43.25,3.92153573036193
40.25,-43.25,3.74013948440551
