x(cm),y(cm),Transient (arb),Normalized Transient
-3.775,-4.325,1.08055,0.870772255844501
-3.725,-4.325,1.10288,0.888767114456326
-3.675,-4.325,1.12505,0.906633035433674
-3.625,-4.325,1.14704,0.924353901572233
-3.575,-4.325,1.16886,0.94193777147416
-3.525,-4.325,1.19048,0.95936046933299
-3.475,-4.325,1.2119,0.976621995148721
-3.425,-4.325,1.23311,0.993714290319201
-3.375,-4.325,1.25411,1.01063735484443
-3.325,-4.325,1.27489,1.02738313012225
-3.275,-4.325,1.29544,1.04394355755051
-3.225,-4.325,1.31575,1.06031057852705
-3.175,-4.325,1.33582,1.07648419305187
-3.125,-4.325,1.35565,1.09246440112498
-3.075,-4.325,1.37522,1.10823508554206
-3.025,-4.325,1.39452,1.12378818770096
-2.975,-4.325,1.41357,1.13913982480599
-2.925,-4.325,1.43234,1.15426582105068
-2.875,-4.325,1.45083,1.16916617643504
-2.825,-4.325,1.46905,1.18384894956121
-2.775,-4.325,1.48698,1.19829802322489
-2.725,-4.325,1.50462,1.21251339742608
-2.675,-4.325,1.52196,1.22648701356263
-2.625,-4.325,1.53901,1.24022693023668
-2.575,-4.325,1.55575,1.25371703024393
-2.525,-4.325,1.5722,1.2669734307887
-2.475,-4.325,1.58833,1.2799719560645
-2.425,-4.325,1.60415,1.29272066467351
-2.375,-4.325,1.61966,1.30521955661571
-2.325,-4.325,1.63486,1.31746863189111
-2.275,-4.325,1.64974,1.32945983189756
-2.225,-4.325,1.6643,1.34119315663505
-2.175,-4.325,1.67853,1.35266054750143
-2.125,-4.325,1.69245,1.36387812170101
-2.075,-4.325,1.70603,1.37482170342732
-2.025,-4.325,1.7193,1.38551546848684
-1.975,-4.325,1.73223,1.39593524107308
-1.925,-4.325,1.74484,1.40609713839037
-1.875,-4.325,1.75712,1.41599310183656
-1.825,-4.325,1.76908,1.42563119001378
-1.775,-4.325,1.7807,1.43499528571774
-1.725,-4.325,1.79199,1.44409344755059
-1.675,-4.325,1.80295,1.45292567551233
-1.625,-4.325,1.81358,1.46149196960295
-1.575,-4.325,1.82389,1.46980038842462
-1.525,-4.325,1.83386,1.47783481477303
-1.475,-4.325,1.8435,1.48560330725032
-1.425,-4.325,1.85281,1.49310586585651
-1.375,-4.325,1.86179,1.50034249059158
-1.325,-4.325,1.87045,1.5073212400577
-1.275,-4.325,1.87877,1.51402599705055
-1.225,-4.325,1.88677,1.52047287877445
-1.175,-4.325,1.89444,1.52665382662723
-1.125,-4.325,1.90179,1.53257689921106
-1.075,-4.325,1.9088,1.53822597932163
-1.025,-4.325,1.9155,1.54362524276539
-0.975,-4.325,1.92186,1.54875051373589
-0.925,-4.325,1.92791,1.55362596803958
-0.875,-4.325,1.93363,1.55823548847217
-0.825,-4.325,1.93903,1.5625871336358
-0.775,-4.325,1.9441,1.56667284492832
-0.725,-4.325,1.94885,1.57050068095188
-0.675,-4.325,1.95329,1.57407870030864
