x (mm),y (mm),intensity (arb. units)
-41.75,-43.25,1.9025051192409447e-07
-41.25,-43.25,2.0308124799214657e-07
-40.75,-43.25,2.1826876395335196e-07
-40.25,-43.25,2.3508131663150287e-07
-39.75,-43.25,2.5277501857784487e-07
-39.25,-43.25,2.706562576451127e-07
-38.75,-43.25,2.881355382545205e-07
-38.25,-43.25,3.047666753405301e-07
-37.75,-43.25,3.2026681549438273e-07
-37.25,-43.25,3.345161131238503e-07
-36.75,-43.25,3.4753908706279084e-07
-36.25,-43.25,3.5947332724091044e-07
-35.75,-43.25,3.7053152584706905e-07
-35.25,-43.25,3.8096322386681374e-07
-34.75,-43.25,3.910215178027924e-07
-34.25,-43.25,4.0093775039744425e-07
-33.75,-43.25,4.109051906478542e-07
-33.25,-43.25,4.210713465793653e-07
-32.75,-43.25,4.315373661909572e-07
-32.25,-43.25,4.4236263879687556e-07
-31.75,-43.25,4.5357233737241605e-07
-31.25,-43.25,4.651664060004752e-07
-30.75,-43.25,4.771288247783781e-07
-30.25,-43.25,4.894362734274585e-07
-29.75,-43.25,5.020656591080105e-07
-29.25,-43.25,5.150001572903373e-07
-28.75,-43.25,5.282336752785827e-07
-28.25,-43.25,5.417735206422523e-07
-27.75,-43.25,5.556410410338747e-07
-27.25,-43.25,5.698705870764122e-07
-26.75,-43.25,5.845070368416312e-07
-26.25,-43.25,5.996023929913583e-07
-25.75,-43.25,6.152118882600768e-07
-25.25,-43.25,6.313902856710518e-07
-24.75,-43.25,6.481887946461001e-07
-24.25,-43.25,6.656531864781473e-07
-23.75,-43.25,6.838238422711277e-07
-23.25,-43.25,7.027378621005408e-07
-22.75,-43.25,7.224338291140223e-07
-22.25,-43.25,7.429587762279589e-07
-21.75,-43.25,7.643759117554049e-07
-21.25,-43.25,7.867719012330423e-07
-20.75,-43.25,8.102615811675608e-07
-20.25,-43.25,8.34988200786553e-07
-19.75,-43.25,8.61118499990334e-07
-19.25,-43.25,8.888325377466345e-07
-18.75,-43.25,9.183095501742259e-07
-18.25,-43.25,9.497118072106018e-07
-17.75,-43.25,9.831691656846006e-07
-17.25,-43.25,1.0187666760959812e-06
-16.75,-43.25,1.056537179093404e-06
-16.25,-43.25,1.0964604719360337e-06
-15.75,-43.25,1.1384690429141583e-06
-15.25,-43.25,1.1824589732133003e-06
-14.75,-43.25,1.2283041847993896e-06
-14.25,-43.25,1.2758710387033259e-06
-13.75,-43.25,1.3250305008033268e-06
-13.25,-43.25,1.3756659657114676e-06
-12.75,-43.25,1.4276762273386878e-06
-12.25,-43.25,1.4809738492130574e-06
-11.75,-43.25,1.535480491126446e-06
-11.25,-43.25,1.5911211120603401e-06
-10.75,-43.25,1.6478189451498218e-06
-10.25,-43.25,1.7054923624570419e-06
-9.75,-43.25,1.7640539948869434e-06
-9.25,-43.25,1.8234122641059348e-06
-8.75,-43.25,1.8834742386704992e-06
-8.25,-43.25,1.9441490960983676e-06
-7.75,-43.25,2.0053519246904864e-06
-7.25,-43.25,2.0670078361048224e-06
-6.75,-43.25,2.129055765734476e-06
-6.25,-43.25,2.1914523819398577e-06
-5.75,-43.25,2.2541758204040516e-06
-5.25,-43.25,2.3172287825611526e-06
-4.75,-43.25,2.380638824225624e-06
-4.25,-43.25,2.4444558632349984e-06
-3.75,-43.25,2.5087452820150716e-06
-3.25,-43.25,2.5735773831309077e-06
-2.75,-43.25,2.6390140835700252e-06
-2.25,-43.25,2.70509514718283e-06
-1.75,-43.25,2.7718259281195247e-06
-1.25,-43.25,2.8391689746622393e-06
-0.75,-43.25,2.907040682723959e-06
-0.25,-43.25,2.9753117197286715e-06
0.25,-43.25,3.043811482051501e-06
0.75,-43.25,3.1123329372294186e-06
1.25,-43.25,3.1806369112915143e-06
1.75,-43.25,3.2484544964342806e-06
2.25,-43.25,3.3154857696107936e-06
2.75,-43.25,3.381397123531225e-06
3.25,-43.25,3.445817139946686e-06
3.75,-43.25,3.50833395664407e-06
4.25,-43.25,3.5684943123297405e-06
4.75,-43.25,3.6258058483072156e-06
5.25,-43.25,3.6797426151524136e-06
5.75,-43.25,3.729753169815983e-06
6.25,-43.25,3.775271162391544e-06
6.75,-43.25,3.815726760615847e-06
7.25,-43.25,3.8505587155030625e-06
7.75,-43.25,3.879226743327612e-06
8.25,-43.25,3.901224542612281e-06
8.75,-43.25,3.91609252476964e-06
9.25,-43.25,3.923431103513706e-06
9.75,-43.25,3.922914119606007e-06
10.25,-43.25,3.9143018063143855e-06
10.75,-43.25,3.897452361741444e-06
11.25,-43.25,3.872331358945358e-06
11.75,-43.25,3.839017888744578e-06
12.25,-43.25,3.7977062535388538e-06
12.75,-43.25,3.7487021364858394e-06
13.25,-43.25,3.6924143365487074e-06
13.75,-43.25,3.6293412275685525e-06
14.25,-43.25,3.560054305133354e-06
14.75,-43.25,3.485179299819578e-06
15.25,-43.25,3.405377556874994e-06
