x (mm),y (mm),intensity (arb. units)
-27.75,-44.25,4.932651181477253e-07
-27.25,-44.25,5.095193281297631e-07
-26.75,-44.25,5.256838446428967e-07
-26.25,-44.25,5.41707675902752e-07
-25.75,-44.25,5.575582352825428e-07
-25.25,-44.25,5.732312520591423e-07
-24.75,-44.25,5.887586389945879e-07
-24.25,-44.25,6.042115306476135e-07
-23.75,-44.25,6.196973286469906e-07
-23.25,-44.25,6.353508717220635e-07
-22.75,-44.25,6.51320594324941e-07
-22.25,-44.25,6.677526788090883e-07
-21.75,-44.25,6.847762047656154e-07
-21.25,-44.25,7.024915338608573e-07
-20.75,-44.25,7.209640276000571e-07
-20.25,-44.25,7.402233789702894e-07
-19.75,-44.25,7.602679565671664e-07
-19.25,-44.25,7.810723684157357e-07
-18.75,-44.25,8.025951699155621e-07
-18.25,-44.25,8.247848633890156e-07
-17.75,-44.25,8.475836099956892e-07
-17.25,-44.25,8.709286837941595e-07
-16.75,-44.25,8.947537752931851e-07
-16.25,-44.25,9.189920401309795e-07
-15.75,-44.25,9.435824072987342e-07
-15.25,-44.25,9.684798603862639e-07
-14.75,-44.25,9.936676929668034e-07
-14.25,-44.25,1.0191690465762516e-06
-13.75,-44.25,1.0450539811994754e-06
-13.25,-44.25,1.0714396765032563e-06
-12.75,-44.25,1.098481496137767e-06
-12.25,-44.25,1.12635611482286e-06
-11.75,-44.25,1.15523898364628e-06
-11.25,-44.25,1.1852795155835767e-06
-10.75,-44.25,1.216578963085202e-06
-10.25,-44.25,1.2491743819168795e-06
-9.75,-44.25,1.283031593562148e-06
-9.25,-44.25,1.3180482379883321e-06
-8.75,-44.25,1.3540661565951664e-06
-8.25,-44.25,1.3908904975626855e-06
-7.75,-44.25,1.4283125414947524e-06
-7.25,-44.25,1.4661314052366995e-06
-6.75,-44.25,1.5041720726565997e-06
-6.25,-44.25,1.5422966020977036e-06
-5.75,-44.25,1.5804073346976679e-06
-5.25,-44.25,1.6184424322870764e-06
-4.75,-44.25,1.656365495625649e-06
-4.25,-44.25,1.6941516094547221e-06
-3.75,-44.25,1.7317732544304927e-06
-3.25,-44.25,1.7691883820035865e-06
-2.75,-44.25,1.8063327854161869e-06
-2.25,-44.25,1.843118096596533e-06
-1.75,-44.25,1.879434431305173e-06
-1.25,-44.25,1.915156525514565e-06
-0.75,-44.25,1.9501517063159657e-06
-0.25,-44.25,1.9842872737266637e-06
0.25,-44.25,2.0174356325841483e-06
0.75,-44.25,2.049475369241325e-06
1.25,-44.25,2.0802881221211123e-06
1.75,-44.25,2.1097528291825e-06
2.25,-44.25,2.1377378926647948e-06
2.75,-44.25,2.164094828761567e-06
3.25,-44.25,2.188653631808668e-06
3.75,-44.25,2.2112221444733957e-06
4.25,-44.25,2.2315898223041192e-06
4.75,-44.25,2.249534890084315e-06
5.25,-44.25,2.2648348233453316e-06
5.75,-44.25,2.2772785900339116e-06
6.25,-44.25,2.286679409072419e-06
6.75,-44.25,2.2928874541458965e-06
7.25,-44.25,2.295800786990472e-06
7.75,-44.25,2.2953732020874367e-06
8.25,-44.25,2.2916165496650627e-06
8.75,-44.25,2.2845977934555627e-06
9.25,-44.25,2.274429961031123e-06
9.75,-44.25,2.26125910540582e-06
10.25,-44.25,2.245248699696095e-06
10.75,-44.25,2.226564360518521e-06
11.25,-44.25,2.205362148216871e-06
11.75,-44.25,2.181782257839469e-06
12.25,-44.25,2.155948444414727e-06
12.75,-44.25,2.127972731648158e-06
13.25,-44.25,2.0979631345801e-06
13.75,-44.25,2.0660324339055786e-06
14.25,-44.25,2.0323050758445332e-06
14.75,-44.25,1.9969210088430628e-06
15.25,-44.25,1.9600353751677176e-06
15.75,-44.25,1.921814392441778e-06
16.25,-44.25,1.8824302141485688e-06
16.75,-44.25,1.842054557863458e-06
17.25,-44.25,1.800854745608379e-06
17.75,-44.25,1.7589911882020117e-06
18.25,-44.25,1.7166171129323891e-06
18.75,-44.25,1.6738799522608333e-06
19.25,-44.25,1.6309236812429387e-06
19.75,-44.25,1.5878918534796386e-06
20.25,-44.25,1.5449293268672047e-06
