x [mm],y [mm],Beam dist
-16.75,-42.75,0.00171614
-16.25,-42.75,0.00178897
-15.75,-42.75,0.00187692
-15.25,-42.75,0.00196486
-14.75,-42.75,0.00205281
-14.25,-42.75,0.00214076
-13.75,-42.75,0.0022287
-13.25,-42.75,0.00232328
-12.75,-42.75,0.00241785
-12.25,-42.75,0.00251242
-11.75,-42.75,0.00260699
-11.25,-42.75,0.00270157
-10.75,-42.75,0.00281106
-10.25,-42.75,0.00292055
-9.75,-42.75,0.00303004
-9.25,-42.75,0.00313953
-8.75,-42.75,0.00324902
-8.25,-42.75,0.00336038
-7.75,-42.75,0.00347175
-7.25,-42.75,0.00358311
-6.75,-42.75,0.00369448
-6.25,-42.75,0.00380584
-5.75,-42.75,0.00392498
-5.25,-42.75,0.00404412
-4.75,-42.75,0.00416326
-4.25,-42.75,0.0042824
-3.75,-42.75,0.00440154
-3.25,-42.75,0.0045435
-2.75,-42.75,0.00468546
-2.25,-42.75,0.00482742
-1.75,-42.75,0.00496937
-1.25,-42.75,0.00511133
-0.75,-42.75,0.00525075
-0.25,-42.75,0.00539016
0.25,-42.75,0.00552958
0.75,-42.75,0.005669
1.25,-42.75,0.00580841
1.75,-42.75,0.00593476
2.25,-42.75,0.00606111
2.75,-42.75,0.00618746
3.25,-42.75,0.00631381
3.75,-42.75,0.00644016
4.25,-42.75,0.00655584
4.75,-42.75,0.00667152
5.25,-42.75,0.0067872
5.75,-42.75,0.00690288
6.25,-42.75,0.00701856
6.75,-42.75,0.00706353
7.25,-42.75,0.00710851
7.75,-42.75,0.00715348
8.25,-42.75,0.00719845
8.75,-42.75,0.00724342
9.25,-42.75,0.00722146
9.75,-42.75,0.00719951
10.25,-42.75,0.00717755
10.75,-42.75,0.00715559
11.25,-42.75,0.00713363
11.75,-42.75,0.00700957
12.25,-42.75,0.0068855
12.75,-42.75,0.00676144
13.25,-42.75,0.00663737
13.75,-42.75,0.00651331
14.25,-42.75,0.00632798
14.75,-42.75,0.00614265
15.25,-42.75,0.00595732
15.75,-42.75,0.00577199
16.25,-42.75,0.00558666
16.75,-42.75,0.0053856
17.25,-42.75,0.00518454
17.75,-42.75,0.00498348
18.25,-42.75,0.00478242
18.75,-42.75,0.00458136
19.25,-42.75,0.00438127
19.75,-42.75,0.00418118
20.25,-42.75,0.00398109
20.75,-42.75,0.003781
21.25,-42.75,0.00358091
21.75,-42.75,0.00341744
22.25,-42.75,0.00325397
22.75,-42.75,0.00309051
23.25,-42.75,0.00292704
23.75,-42.75,0.00276358
24.25,-42.75,0.0026324
